w_collision,w_speed,w_distance,test_episode_num,safe_rate,average_speed,col_epi
0.7,0.4,0.4,100,1.0,23.368566642448883,[]
1.1,0.4,0.2,100,1.0,23.31150996806464,[]
0.8999999999999999,0.5,0.2,100,1.0,23.29855470464252,[]
0.6,0.3,0.5,100,1.0,23.288640700066583,[]
0.7999999999999999,0.5,0.5,100,1.0,23.25022917974428,[]
0.7,0.3,0.1,100,1.0,23.24442373616256,[]
0.7999999999999999,0.3,0.1,100,1.0,23.233259294660453,[]
0.6,0.3,0.3,100,1.0,23.23260527936814,[]
0.7,0.4,0.3,100,1.0,23.2289521166214,[]
1.0,0.3,0.4,100,1.0,23.22792111945605,[]
0.7,0.3,0.2,100,1.0,23.22773182717784,[]
0.7999999999999999,0.2,0.2,100,1.0,23.226140924966696,[]
0.7999999999999999,0.5,0.3,100,1.0,23.220735658207573,[]
1.1,0.4,0.5,100,1.0,23.21835137322164,[]
0.7,0.5,0.2,100,1.0,23.210389526853444,[]
0.6,0.4,0.1,100,1.0,23.20894726253139,[]
0.7999999999999999,0.3,0.4,100,1.0,23.199490696144657,[]
0.7,0.5,0.3,100,1.0,23.19807171292605,[]
0.8999999999999999,0.2,0.5,100,1.0,23.196487911663663,[]
0.7999999999999999,0.3,0.3,100,1.0,23.195541678280136,[]
0.6,0.2,0.1,100,1.0,23.18927575426124,[]
0.7,0.2,0.5,100,1.0,23.18618844265465,[]
1.1,0.5,0.1,100,1.0,23.17768342256258,[]
1.1,0.3,0.2,100,1.0,23.176715941988263,[]
0.8999999999999999,0.5,0.5,100,1.0,23.17186873809973,[]
0.6,0.4,0.5,100,1.0,23.1627812403768,[]
0.7,0.4,0.1,100,1.0,23.16016213191552,[]
0.7999999999999999,0.4,0.5,100,1.0,23.15274090374924,[]
1.0,0.5,0.4,100,1.0,23.151661518084467,[]
0.8999999999999999,0.2,0.3,100,1.0,23.14983532715055,[]
1.0,0.2,0.3,100,1.0,23.14743223802397,[]
0.6,0.1,0.3,100,1.0,23.144365890106595,[]
0.6,0.4,0.3,100,1.0,23.14226490314563,[]
0.8999999999999999,0.4,0.4,100,1.0,23.139520673686658,[]
0.7,0.2,0.1,100,1.0,23.134676974082133,[]
1.1,0.3,0.5,100,1.0,23.13285014755793,[]
1.0999999999999999,0.5,0.5,100,1.0,23.128863843894976,[]
0.7999999999999999,0.5,0.4,100,1.0,23.12701597708531,[]
0.7,0.4,0.5,100,1.0,23.125672775139915,[]
1.0,0.5,0.5,100,1.0,23.12231381867784,[]
0.8999999999999999,0.4,0.3,100,1.0,23.119364256185,[]
0.6,0.5,0.4,100,1.0,23.111607649382112,[]
0.7999999999999999,0.4,0.1,100,1.0,23.109415042975908,[]
1.0,0.2,0.1,100,1.0,23.109133213371013,[]
1.0,0.4,0.5,100,1.0,23.107602498639185,[]
1.1,0.5,0.2,100,1.0,23.105359311404406,[]
0.6,0.5,0.1,100,1.0,23.1011425156559,[]
0.8999999999999999,0.3,0.3,100,1.0,23.08870471415593,[]
1.1,0.3,0.4,100,1.0,23.08722517977835,[]
1.0,0.5,0.3,100,1.0,23.080207079177683,[]
1.1,0.1,0.2,100,1.0,23.07881030869864,[]
0.7999999999999999,0.5,0.2,100,1.0,23.0764820210334,[]
0.6,0.2,0.5,100,1.0,23.074207491184115,[]
1.1,0.4,0.4,100,1.0,23.06910783424744,[]
0.8999999999999999,0.4,0.1,100,1.0,23.068739467774087,[]
0.8999999999999999,0.2,0.4,100,1.0,23.06385977365916,[]
1.0,0.4,0.3,100,1.0,23.06132740714113,[]
0.7,0.5,0.4,100,1.0,23.05684820001455,[]
0.7,0.2,0.4,100,1.0,23.053987050842206,[]
0.8999999999999999,0.4,0.5,100,1.0,23.053759632501144,[]
1.1,0.3,0.3,100,1.0,23.053393349397385,[]
0.6,0.2,0.3,100,1.0,23.048173551276847,[]
0.8999999999999999,0.4,0.2,100,1.0,23.04712381625995,[]
0.7999999999999999,0.4,0.3,100,1.0,23.04490348141972,[]
0.6,0.3,0.2,100,1.0,23.04487898558144,[]
1.0,0.4,0.1,100,1.0,23.043516203184907,[]
1.1,0.5,0.4,100,1.0,23.042966815683883,[]
