field.distance,field.f1_speed,field.ego_speed
23,2.450020552,2.450000286
23,2.450020552,1.429540634
23,2.349653244,1.429540634
23,2.349653244,1.429540634
23,1.140046716,0.510261059
23,1.140046716,0.510261059
23,1.140046716,0.510261059
23,1.140046716,0.510261059
23,0.39030233,0.076640524
23,0.39030233,0.076640524
23,0.39030233,0.076640524
23,0.39030233,0.076640524
23,0.068663031,0.105167441
23,0.068663031,0.105167441
23,0.068663031,0.105167441
23,0.068663031,0.105167441
23,0.245608643,0.162335917
23,0.245608643,0.162335917
23,0.245608643,0.162335917
23,0.245608643,0.162335917
23,0.29825145,0.162402093
23,0.29825145,0.162402093
23,0.29825145,0.162402093
23,0.29825145,0.162402093
23,0.282737046,0.139904961
23,0.282737046,0.139904961
23,0.282737046,0.139904961
23,0.282737046,0.139904961
23,0.236041948,0.11167293
23,0.236041948,0.11167293
23,0.236041948,0.11167293
23,0.236041948,0.11167293
23,0.180521876,0.237019584
23,0.180521876,0.237019584
23,0.180521876,0.237019584
23,0.180521876,0.237019584
23,0.128368825,0.563530087
23,0.128368825,0.563530087
23,0.128368825,0.563530087
23,0.128368825,0.563530087
23,1.584830165,2.355851889
22.5,2.762863636,3.484154701
22,3.846078396,4.524753094
21.5,3.8565135,5.044818401
21,3.941917419,4.866069794
21,3.892071247,4.662874222
20.5,3.792149067,5.116691589
20,3.877223969,4.865233421
19.5,3.899650335,4.66655159
18.5,3.828687191,5.101201057
18,3.86989665,4.906723022
17.5,3.87170434,4.657538414
17,3.855432034,5.08031702
17,3.866388321,4.925846577
16.5,3.863865137,4.653001785
16,3.862000227,5.069517612
15,3.865760803,4.926086426
14.5,3.86292696,4.65322113
14,3.863559008,5.069248676
13.5,3.863984108,4.926566601
13,3.862973213,4.653280258
12.5,3.861260414,5.069166183
12.5,3.830432653,4.927274704
12,3.861913681,4.653278351
11,3.863065958,5.068702221
10.5,3.862913847,4.928050518
10,3.863168478,4.653372288
9.5,3.839953423,5.067196369
9,3.851298332,4.925913811
8.5,3.864195108,4.654989243
8,3.880903721,5.063158512
8,3.880903721,5.063158512
7,3.757722616,4.875607014
6.5,3.993089199,3.949079514
6.5,4.026574612,2.543792486
7.5,3.868271828,1.845986724
8.5,3.756314993,2.934965611
9,3.970505714,4.021310329
8,3.834387302,5.023421288
7.5,3.860938072,4.59633112
7.5,3.868065357,5.116320133
7,3.861786127,3.907956839
7,3.863881588,2.491036892
8,3.861234188,1.815985799
9,3.864577293,2.912385702
9.5,3.865443707,4.00235796
9,3.850373507,5.103578091
8.5,3.850280046,4.604378223
8,3.857113838,5.102020741
7.5,3.850980282,4.900872231
7,3.851632595,4.426132202
7,3.860591173,2.928495407
7.5,3.868676186,1.69282639
8.5,3.863593102,1.577543616
9.5,3.859852314,2.744183064
10,3.861049891,3.847089291
10,3.867819786,4.86511898
