,episode,d_v,v,d_d
0,1,-3.197056574152512,15.325918794694896,40.12704008783726
0,1,0.10163719635457191,6.124014931672635,39.2923135184877
0,1,-0.48156733642934313,7.0296801417815145,39.184791610711294
0,1,-1.5201747646921095,10.532502746837308,38.636702169718525
0,1,1.0152836796275952,10.575656074941254,38.44083977441917
0,1,-0.6957361305434198,12.053564720023852,38.73277044567443
0,1,-1.3813533535631244,13.091260497112051,38.285784321941534
0,1,-1.9898446094152238,13.62740918489749,37.29757753136358
0,1,-3.368193215123245,14.944746960172449,36.12394032632289
0,1,-4.3617933140021705,15.969866552783733,34.09291523204544
0,1,-5.097817197450485,16.709567866350085,31.926299061793273
0,1,-5.972383653946583,17.573726008025048,28.96959108558894
0,1,-4.203477621182264,15.802962862918157,26.631177364374572
0,1,-6.377062379269205,17.978222432300573,23.93162308810741
0,1,-4.047409733756421,15.648040411746239,21.346993732329945
0,1,-6.155382067797158,17.75178271975851,18.85749387708274
0,1,-4.212150624542133,15.807690523604261,16.151045658568354
0,1,-3.7279603089258533,15.32514985767483,14.264994155173907
0,1,-2.3054041492157644,13.901951937390406,12.730471176502618
0,1,-1.5714542012918642,13.16781183315238,11.753017285061789
0,1,-3.487343641355837,15.083894826521092,10.494718355501403
0,1,-1.3412182161514146,12.937746192105005,9.210217935398006
0,1,-0.5938222147908405,12.19031760539289,8.822151221130277
0,1,0.5233239194506503,11.073182600242395,8.758782558266278
0,1,-1.3938758173680412,12.990387230817266,8.57218616897502
0,1,0.5467722560174302,11.049734087636827,8.364758006977873
0,1,-1.372141306749402,12.968649667377303,8.222459661962239
0,1,0.5252115763795402,11.071305813227475,7.9900332051671805
0,1,-1.3706502491800894,12.967155477439922,7.863656778013537
0,1,0.5168849385906622,11.079620697822346,7.614971565087134
0,1,-0.09036759669010941,11.686869871464104,7.690833720442371
0,1,1.5458388417068267,10.056951880060108,8.140785820382224
0,1,-0.47387211567664345,12.072995120270688,8.35929809936825
0,1,1.584822705850172,10.019220870821055,8.67485546335891
0,1,-0.09653421452756561,11.721641162513722,9.20986961231914
0,1,0.37770705936999427,11.232730863189937,9.1551223531881
0,1,-1.4099415323392055,13.029470162955734,8.93891866162245
0,1,0.6602379410866934,10.95968156817491,8.779151784168345
0,1,-1.4118905813255758,13.029561048394216,8.604702904729951
0,1,0.5121309546431974,11.107895111201595,8.387965054691792
0,1,-1.3875128407723984,13.007191915955561,8.235173859656603
0,1,0.49450853825603325,11.124867047961628,7.998102249693204
0,1,-1.5078177924507212,13.128042231617979,7.85778507439537
0,1,0.28176608282777416,11.338904130809407,7.378015953884325
0,1,-0.11803326214657162,11.738539424903294,7.522509461852209
0,1,1.4999508252285807,10.120492055713175,7.880703212363012
0,1,-0.4442913220396001,12.064683598625312,8.197374921008567
0,1,1.4372019119148138,10.18322183331251,8.44033739425838
0,1,-0.055519939092556925,11.675945504118117,8.972793945312553
0,1,-1.0451736246217784,12.665585888169979,8.449238280328286
0,1,0.45982152236352825,11.160601068388527,8.45676047835798
0,1,-1.3844339761448001,13.004853396129098,8.122005772556198
0,1,0.5980552487777793,11.024227905888319,8.003884199657103
0,1,-1.4105490788770219,13.037647146493498,7.801924636556232
0,1,0.507828956699095,11.12138758641961,7.59987109098528
0,1,-0.03892945720852481,11.668125497877053,7.672548090851747
0,1,1.4975582661632227,10.131968625418832,8.101844008268625
0,1,-0.48473641860059935,12.117320537741985,8.351403701399851
0,1,1.4379390949763184,10.182840964669401,8.62258470251654
0,1,-0.4199343848447885,12.06812028395573,8.961185992963873
0,1,0.6249667602121232,11.004546921200644,9.007151861341557
0,1,-1.9341756175837617,13.564859614374853,8.712373505739906
0,1,0.40228194798485184,11.231639814001282,8.273747910180962
0,1,-1.2161750858501161,12.848595697693712,8.23941449624687
0,1,0.44910958667289336,11.183059289314018,7.9536243641252256
0,1,-1.3732266427964284,13.006213289667977,7.858241147805427
0,1,0.47149664770281596,11.165686610031697,7.561026197128959
0,1,-0.12527163375377093,11.759724962634767,7.6643548470646765
0,1,1.423455735405101,10.218642550846525,7.959794905108101
0,1,-0.48362858275359955,12.095111402106431,8.323351529257756
0,1,1.3846745487757683,10.24681342604141,8.508796512772275
0,1,-0.35691371251598447,12.00499528233265,8.9209295159895
0,1,0.3895642016146468,11.259354005384958,8.885826141299608
0,1,-1.475873722256848,13.119893561609889,8.607295102578318
0,1,0.5007639783872158,11.143749487757901,8.41369916872892
0,1,-1.4157730523684435,13.062310549888224,8.228487603432287
0,1,0.47900650342143614,11.173699882772864,7.999933967956956
0,1,-1.405396207041223,13.058846656259927,7.8463998283094964
0,1,0.3433607921799471,11.310872051831922,7.469396139026655
0,1,1.402000764397858,10.25490419375804,8.02701998622538
0,1,-0.43016752520667545,12.089012749062377,8.172451675898506
0,1,1.4577550080732635,10.202800929154405,8.492890512046433
0,1,-0.4740109109113888,12.136481895562126,8.78843182091159
0,1,0.33354895579593347,11.33014641383342,8.80698518574783
0,1,-1.3825014992396412,13.048011142468988,8.461961843890371
0,1,-0.8176742869371854,12.484672276780461,8.054257853796667
0,1,-0.816776728198418,12.484864576465855,7.536556601723659
0,1,0.433220519693565,11.236714871465807,7.527886070208447
0,1,0.04397153023918854,11.62803303058953,7.563665767363553
0,1,1.3727016846865965,10.301277494981832,7.90081610902022
0,1,-0.47265548162713067,12.147184259520547,8.219831226983526
0,1,1.3652074226709345,10.309259919389278,8.416973378164549
0,1,-0.4622506181849033,12.136873357374274,8.796528283208922
