delta_x,delta_v
8.511368,2.5103266
9.383294,-0.8512733
11.153461,4.5272865
14.042348,1.1656867
13.569634,-2.1959133
10.83685,-3.2974424
10.160848,2.0811176
10.603565,-1.2804824
8.786212,-2.3820114
9.0256405,2.9965484
10.383789,-0.3650515
8.380338,-3.7266514
7.275126,1.6519085
7.288635,-1.7096915
8.200383,3.6688685
10.230851,0.3072685
8.89972,-3.0543315
8.466828,2.3242285
9.1526575,-1.0373715
10.736726,4.3411884
13.439514,0.9795885
32.45051,-2.9434154
27.868694,-6.3050156
21.026808,-7.4065447
13.444342,-7.7674937
8.298288,-2.3889334
8.530795,2.9896264
9.882021,-0.3719735
7.871648,-3.7335734
6.7595143,1.6449865
6.766101,-1.7166135
7.6709275,3.6619465
9.694474,0.30034646
8.3564205,-3.0612535
7.916607,2.3173065
8.595513,-1.0442935
10.17266,4.3342667
12.868526,0.97266644
12.202792,-2.3889334
9.276988,-3.4904625
8.407966,1.8880974
8.657663,-1.4735026
9.8056,3.9050574
12.072258,0.5434574
10.977315,-2.8181427
10.780612,2.5604174
11.70263,-0.8011826
9.263047,-4.1627827
7.7217045,1.2157774
7.299082,-2.1458225
7.774699,3.2327373
30.734425,-2.6886206
26.407404,-6.0502205
19.820312,-7.1517496
15.290003,-1.7731895
14.375807,-0.010743035
12.726664,-3.372343
8.81745,-4.473872
6.965018,0.9046879
10.491146,6.283248
15.135994,2.9216478
16.41924,-0.43995214
14.340889,-3.801552
10.002466,-4.9030814
7.720825,0.4754788
10.817744,5.8540387
15.033382,2.4924388
15.887422,-0.8691612
13.37986,-4.230761
11.770539,1.1477988
11.279938,-2.2138011
8.529265,-3.3153303
7.8353753,2.0632298
8.260205,-1.2983702
9.583275,4.0801897
12.025064,0.7185897
11.105254,-2.6430104
11.083684,2.7355497
12.180834,-0.6260503
9.916384,-3.9876504
8.550173,1.3909097
31.000874,-1.360116
28.002357,-4.721716
22.74377,-5.823245
16.744604,-6.184194
13.1818495,-0.8056341
10.737816,-4.167234
9.192021,1.2113259
8.764948,-2.150274
9.236114,3.2282858
10.825999,-0.1333141
9.054285,-3.494914
8.180811,1.8836459
8.426057,-1.4779541
9.569543,3.900606
11.831749,0.5390059
10.732355,-2.8225942
10.5312,2.555966
11.448767,-0.8056341
10.106261,-1.9071631
10.8205385,3.471397
12.653535,0.10979681
11.124932,-3.2518032
10.494569,2.126757
10.982925,-1.2348431
9.211211,-2.3363724
9.496279,3.0421877
10.900066,-0.3194123
8.942254,-3.6810124
7.8826823,1.6975477
7.94183,-1.6640522
28.739786,-2.3546033
24.746782,-5.716203
18.493708,-6.8177323
14.297416,-1.4391724
13.7172365,0.3232742
12.402111,-3.0383258
8.826914,-4.139855
7.3084993,1.2387052
6.9088044,-2.122895
7.4073496,3.255665
9.024614,-0.10593489
8.381809,-1.207464
9.795785,4.171096
12.328481,0.80949605
11.4995775,-2.552104
8.410603,-3.653633
7.378409,1.724927
7.4649363,-1.6366731
8.449703,3.7418869
10.55319,0.38028693
9.295077,-2.981313
8.935204,2.3972468
9.694051,-0.9643531
8.192827,-2.0658822
8.748384,3.3126779
10.422663,-0.048922148
8.73534,-3.4105222
7.946258,1.9680378
8.275896,-1.3935622
9.503774,3.9849977
33.996346,-1.7342453
30.623701,-5.095845
24.990986,-6.1973743
18.61769,-6.5583234
14.680806,-1.1797634
11.862642,-4.5413632
9.942719,0.8371965
9.141516,-2.5244036
9.238552,2.8541565
10.4543085,-0.5074435
8.308465,-3.8690434
7.0608616,1.5095166
6.931978,-1.8520834
7.701335,3.5264766
9.589412,0.16487654
8.115888,-3.1967235
7.5406046,2.1818366
8.084041,-1.1797634
9.525718,4.1987967
12.086114,0.8371965
11.28491,-2.5244036
8.223637,-3.6259325
7.219144,1.7526275
7.333371,-1.6089725
8.345839,3.7695875
10.477026,0.40798745
9.2466135,-2.9536126
8.914441,2.4249475
9.700989,-0.93665254
8.227465,-2.0381815
27.781664,-2.1565266
23.986736,-5.5181265
17.93174,-6.6196556
13.933523,-1.2410958
13.551421,0.5213508
12.434372,-2.8402493
9.057252,-3.9417782
7.7369137,1.4367818
7.5352955,-1.9248183
8.231917,3.4537418
10.047259,0.09214172
8.501,-3.2694583
7.8529825,2.1091018
8.323684,-1.2524983
9.692626,4.126062
12.180287,0.7644617
11.306349,-2.5971382
8.17234,-3.6986673
7.095113,1.6798927
7.1366053,-1.6817074
8.076338,3.6968527
10.13479,0.33525264
8.831643,-3.0263474
8.426736,2.3522127
9.140549,-1.0093874
10.752601,4.3691726
13.483374,1.0075727
12.852547,-2.3540273
9.961648,-3.4555564
9.127532,1.9230036
32.121487,-2.5012784
27.981808,-5.8628783
21.58206,-6.9644074
14.44173,-7.3253565
9.737813,-1.9467967
10.4124565,3.4317634
12.205819,0.07016337
10.637583,-3.2914367
9.9675865,2.0871234
10.416309,-1.2744766
8.604962,-2.3760056
8.850396,3.0025542
10.214551,-0.3590457
8.217105,-3.7206457
7.1178994,1.6579143
7.1374135,-1.7036858
8.055168,3.6748743
10.091642,0.3132743
8.766517,-3.0483258
8.339631,2.3302343
9.031465,-1.0313658
10.621539,4.347194
13.330334,0.9855943
12.677527,-2.3760056
9.764651,-3.4775348
8.908556,1.9010252
9.171182,-1.4605749
10.3320465,3.9179852
12.611632,0.5563852
11.529617,-2.805215
32.206253,-3.188222
27.379633,-6.549822
20.29294,-7.651351
15.263028,-2.2727911
13.849231,-0.51034456
11.700486,-3.8719447
10.449982,1.5066154
10.318196,-1.8549846
11.084652,3.5235753
12.969828,0.16197541
11.4934025,-3.1996245
10.915218,2.1789355
11.455753,-1.1826646
9.736218,-2.2841938
10.073464,3.0943663
11.529431,-0.26723367
9.623797,-3.6288338
8.616404,1.7497263
8.72773,-1.6118736
9.737296,3.7666864
11.865582,0.40508634
10.632269,-2.9565136
10.297195,2.4220464
11.080841,-0.9395537
9.604417,-2.0410829
10.184774,3.3374772
11.883851,-0.024122765
10.221329,-3.3857229
9.457046,1.9928372
9.811483,-1.3687627
31.161543,-3.5336013
25.989542,-6.895201
18.557468,-7.9967303
13.1821785,-2.6181703
11.423002,-0.85572374
10.848753,-0.27820525
8.932148,-3.6398053
7.913783,1.7387547
8.014137,-1.6228453
9.0127325,3.7557147
11.130047,0.39411476
9.885762,-2.9674852
9.539717,2.4110746
10.312391,-0.9505252
8.824995,-2.0520544
9.394381,3.3265057
11.082486,-0.03509434
9.408992,-3.3966944
8.633738,1.9818656
8.977203,-1.3797344
10.218909,3.9988256
12.579335,0.6372257
11.57816,-2.7243743
8.3169155,-3.8259034
7.112452,1.5526565
7.0267086,-1.8089434
7.839205,3.5696166
9.770422,0.20801657
8.340038,-3.1535835
7.8078947,2.2249765
32.45855,-2.645885
28.174267,-6.007485
21.62991,-7.109014
14.3449745,-7.469963
9.496451,-2.091403
10.026488,3.2871568
11.675245,-0.07444312
9.962402,-3.436043
9.147799,1.9425169
9.451916,-1.4190831
10.654273,3.959477
12.975349,0.5978769
11.934827,-2.7637231
8.6342325,-3.8652523
7.3904204,1.5133078
7.265328,-1.8482922
8.038476,3.5302677
9.930344,0.1686678
8.460611,-3.1929321
7.889119,2.1856277
8.436347,-1.1759722
9.881815,4.2025876
12.446003,0.8409878
11.64859,-2.5206122
8.591107,-3.6221414
7.590406,1.7564187
7.7084246,-1.6051813
8.724684,3.7733786
10.859662,0.41177872
9.63304,-2.9498212
31.022087,-1.7487259
27.634962,-5.110326
21.987766,-6.211855
15.599989,-6.572804
11.648624,-1.194244
11.313374,0.5682025
10.243176,-2.7933974
10.071219,2.5851626
11.017982,-0.77643746
9.704673,-1.8779665
10.448147,3.5005934
12.31034,0.13899344
10.810933,-3.2226067
10.209767,2.1559534
10.727321,-1.2056465
8.984803,-2.3071756
9.2990675,3.0713844
10.732052,-0.29021564
8.803436,-3.6518157
7.7730603,1.7267443
7.8614044,-1.6348556
8.847989,3.7437043
10.953293,0.38210434
9.696998,-2.9794958
9.338942,2.3990643
10.0996065,-0.9625357
8.6002,-2.0640647
9.157575,3.3144953
10.833671,-0.04710474
9.148166,-3.4087048
31.262539,-1.560381
28.063759,-4.921981
22.604906,-6.02351
16.405474,-6.384459
12.642455,-1.0058992
12.495549,0.75654733
11.613696,-2.6050527
8.471773,-3.7065818
7.386631,1.6719782
7.4202094,-1.6896218
8.352028,3.6889381
10.402566,0.32733822
9.091504,-3.0342617
8.678682,2.3442981
9.384581,-1.0173018
10.988719,4.361258
13.711576,0.9996582
13.072835,-2.3619418
10.174023,-3.463471
9.331991,1.9150891
9.608681,-1.4465109
10.783609,3.932049
13.077259,0.5704491
12.009308,-2.7911508
8.681286,-3.89268
7.410046,1.48588
7.2575264,-1.8757199
8.003246,3.50284
9.867686,0.14124005
8.370526,-3.22036
30.367695,-3.849677
26.518017,-3.849677
22.66834,-3.849677
18.818663,-3.849677
14.9689865,-3.849677
11.119309,-3.849677
9.891072,1.5288829
9.781555,-1.8327172
10.570277,3.545843
12.47772,0.18424286
11.023563,-3.1773572
10.467647,2.2012029
11.030449,-1.1603972
9.333181,-2.2619262
9.692695,3.1166337
11.170929,-0.24496624
9.287562,-3.6065662
8.302436,1.7719938
8.436029,-1.5896063
9.467864,3.7889538
11.618418,0.42735377
10.4073715,-2.9342463
10.094564,2.4443138
10.900478,-0.9172862
9.4463215,-2.0188153
10.048946,3.3597448
11.77029,-0.0018553229
10.130035,-3.3634553
9.3880205,2.0151048
9.764725,-1.3464953
31.028013,-1.4929866
27.896626,-4.8545866
22.505169,-5.9561157
16.37313,-6.317065
12.677506,-0.93850476
10.100602,-4.3001046
8.421937,1.0784552
7.8619924,-2.2831447
8.200288,3.0954154
9.657303,-0.26618472
7.752718,-3.6277847
6.746373,1.7507752
6.8587484,-1.6108247
7.869364,3.7677352
9.998699,0.40613526
8.766435,-2.9554648
8.432409,2.4230952
9.217105,-0.93850476
10.900041,4.4400554
13.701695,1.0784552
13.14175,-2.2831447
10.321735,-3.3846738
9.558501,1.9938862
9.913987,-1.3677138
11.167714,4.010846
13.54016,0.64924616
12.551006,-2.7123537
9.301782,-3.8138828
8.109339,1.5646771
8.035616,-1.7969229
30.111992,-1.7091529
26.764439,-5.070753
21.156815,-6.172282
14.808611,-6.5332313
10.89682,-1.1546711
10.601142,0.60777545
9.570518,-2.7538245
9.438133,2.6247354
10.424468,-0.73686457
9.150733,-1.8383937
9.933779,3.5401664
11.835546,0.17856635
10.375711,-3.1830337
9.814118,2.1955264
10.371244,-1.1660737
8.6683,-2.2676027
9.022138,3.1109571
10.494695,-0.25064275
8.605652,-3.6122427
7.614849,1.7663172
7.7427664,-1.5952828
8.768924,3.7832773
10.913801,0.42167726
9.697078,-2.9399228
9.378595,2.4386373
10.178832,-0.9229627
8.718999,-2.0244918
9.315947,3.3540683
11.031615,-0.00753183
9.385683,-3.3691318
32.788536,-1.3852224
29.764914,-4.7468224
24.48122,-5.8483515
18.456947,-6.2093005
14.869086,-0.8307406
12.399946,-4.1923404
10.829045,1.1862195
10.376865,-2.1753805
10.822925,3.2031794
12.387704,-0.15842056
10.590883,-3.5200205
9.692303,1.8585395
9.912442,-1.5030606
11.030822,3.8754995
13.267921,0.51389945
12.14342,-2.8477006
8.758849,-3.9492297
7.4310594,1.4293303
7.2219896,-1.9322697
7.91116,3.4462903
9.71905,0.08469035
8.16534,-3.2769096
7.509871,2.1016502
7.973121,-1.2599497
9.334612,4.1186104
11.814822,0.75701034
10.933433,-2.6045897
10.950283,2.7739704
12.085853,-0.5876297
9.859823,-3.9492297
28.636827,-2.9007394
24.097689,-6.262339
17.29848,-7.363868
12.55605,-1.9853084
11.429735,-0.2228619
9.568473,-3.584462
8.605452,1.7940981
8.761149,-1.5675019
9.815087,3.811058
11.987745,0.4494581
10.798803,-2.9121418
10.508101,2.466418
11.33612,-0.8951819
9.904067,-1.996711
10.528796,3.381849
12.272245,0.020249015
10.654095,-3.341351
9.934183,2.037209
10.332993,-1.324391
8.47173,-2.42592
8.667251,2.9526398
9.98149,-0.40896007
7.93413,-3.77056
6.78501,1.6079999
6.75461,-1.7536001
7.62245,3.62496
9.60901,0.26335993
8.23397,-3.0982401
7.7571697,2.28032
8.39909,-1.0812801
28.017673,-2.7341738
23.6451,-6.0957737
17.012455,-7.197303
12.436593,-1.8187429
11.476844,-0.056296293
9.782147,-3.4178963
8.985691,1.9606637
9.307955,-1.4009362
10.528459,3.9776237
12.867682,0.6160237
11.845306,-2.7455764
8.562859,-3.8471053
7.3371935,1.5314546
7.230248,-1.8301454
8.021543,3.5484147
9.931558,0.18681462
8.479972,-3.1747854
7.9266267,2.2037747
8.492002,-1.1578254
9.955616,4.2207346
12.5379505,0.8591346
11.758685,-2.5024655
8.719349,-3.6039944
7.736794,1.7745656
7.8729596,-1.5870345
8.907365,3.7915256
11.060491,0.42992553
9.852016,-2.9316745
9.541781,2.4468856
10.350267,-0.91471446
28.697676,-2.736878
24.3224,-6.098478
17.68705,-7.200007
13.108482,-1.8214469
12.146029,-0.059000358
10.448629,-3.4206004
9.649468,1.9579597
9.969028,-1.4036404
